day,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec
1,0.19,0.17,0.12,0.11,0.06,0.07,0.03,0.01,0.05,0.05,0.15,0.19
2,0.21,0.12,0.11,0.08,0.05,0.04,0.05,0.02,0.06,0.07,0.2,0.19
3,0.19,0.12,0.13,0.08,0.07,0.07,0.03,0.02,0.05,0.1,0.17,0.21
4,0.2,0.14,0.1,0.11,0.08,0.05,0.03,0.01,0.04,0.08,0.16,0.14
5,0.2,0.15,0.13,0.11,0.06,0.03,0.04,0.02,0.07,0.06,0.15,0.19
6,0.17,0.14,0.06,0.09,0.06,0.06,0.03,0.02,0.05,0.1,0.18,0.15
7,0.19,0.15,0.11,0.1,0.05,0.06,0.02,0.02,0.04,0.05,0.15,0.15
8,0.16,0.15,0.14,0.08,0.06,0.06,0.03,0.01,0.05,0.1,0.14,0.17
9,0.16,0.14,0.15,0.08,0.05,0.05,0.03,0.02,0.04,0.1,0.19,0.21
10,0.15,0.12,0.13,0.08,0.06,0.04,0.03,0.02,0.05,0.11,0.16,0.2
11,0.17,0.15,0.14,0.08,0.07,0.06,0.01,0.02,0.04,0.07,0.18,0.22
12,0.18,0.14,0.14,0.09,0.04,0.05,0.03,0.02,0.05,0.07,0.19,0.22
13,0.2,0.13,0.12,0.1,0.04,0.04,0.02,0.02,0.05,0.09,0.24,0.19
14,0.2,0.14,0.11,0.1,0.06,0.05,0.02,0.05,0.06,0.11,0.19,0.18
15,0.15,0.17,0.14,0.07,0.06,0.04,0.02,0.03,0.05,0.09,0.19,0.21
16,0.16,0.17,0.1,0.1,0.07,0.06,0.05,0.03,0.07,0.13,0.17,0.18
17,0.22,0.15,0.11,0.08,0.05,0.04,0.02,0.03,0.09,0.11,0.2,0.15
18,0.2,0.13,0.11,0.07,0.05,0.05,0.01,0.04,0.06,0.13,0.2,0.17
19,0.16,0.13,0.08,0.12,0.07,0.04,0.02,0.02,0.06,0.14,0.27,0.18
20,0.15,0.11,0.1,0.06,0.05,0.06,0.02,0.02,0.06,0.17,0.2,0.22
21,0.16,0.12,0.11,0.06,0.05,0.03,0.01,0.04,0.05,0.12,0.19,0.18
22,0.2,0.12,0.12,0.07,0.04,0.04,0.02,0.04,0.09,0.11,0.2,0.15
23,0.2,0.12,0.13,0.08,0.05,0.04,0.01,0.05,0.05,0.12,0.23,0.18
24,0.19,0.12,0.11,0.07,0.05,0.07,0.01,0.04,0.05,0.12,0.19,0.17
25,0.14,0.12,0.09,0.05,0.07,0.04,0.01,0.04,0.05,0.11,0.22,0.16
26,0.12,0.12,0.09,0.06,0.06,0.04,0.03,0.05,0.08,0.13,0.18,0.19
27,0.14,0.13,0.11,0.08,0.06,0.04,0.01,0.04,0.07,0.14,0.17,0.21
28,0.13,0.13,0.13,0.06,0.05,0.05,0.01,0.03,0.06,0.14,0.17,0.17
29,0.17,0.09,0.11,0.07,0.06,0.03,0.01,0.06,0.05,0.11,0.17,0.21
30,0.12,-,0.09,0.07,0.05,0.03,0.01,0.03,0.09,0.14,0.2,0.15
31,0.16,-,0.07,-,0.06,-,0.01,0.04,-,0.15,-,0.14
